show_id,listed_in_1,listed_in_2,listed_in_3
s1,Documentaries,NULL,NULL
s2,International TV Shows,TV Dramas,TV Mysteries
s3,Crime TV Shows,International TV Shows,TV Action & Adventure
s4,Docuseries,Reality TV,NULL
s5,International TV Shows,Romantic TV Shows,TV Comedies
s6,TV Dramas,TV Horror,TV Mysteries
s7,Children & Family Movies,NULL,NULL
s8,Dramas,Independent Movies,International Movies
s9,British TV Shows,Reality TV,NULL
s10,Comedies,Dramas,NULL
s11,Crime TV Shows,Docuseries,International TV Shows
s12,Crime TV Shows,International TV Shows,TV Action & Adventure
s13,Dramas,International Movies,NULL
s14,Children & Family Movies,Comedies,NULL
s15,British TV Shows,Crime TV Shows,Docuseries
s16,TV Comedies,TV Dramas,NULL
s17,Documentaries,International Movies,NULL
s18,Crime TV Shows,Spanish-Language TV Shows,TV Dramas
s19,Thrillers,NULL,NULL
s20,International TV Shows,Spanish-Language TV Shows,TV Action & Adventure
s21,Crime TV Shows,Docuseries,International TV Shows
s22,International TV Shows,TV Action & Adventure,TV Dramas
s23,Comedies,International Movies,NULL
s24,Children & Family Movies,NULL,NULL
s25,Comedies,International Movies,Romantic Movies
s26,Docuseries,International TV Shows,Reality TV
s27,Comedies,International Movies,Music & Musicals
s28,Comedies,NULL,NULL
s29,Horror Movies,Sci-Fi & Fantasy,NULL
s30,Thrillers,NULL,NULL
s31,Dramas,Independent Movies,International Movies
s32,TV Comedies,NULL,NULL
s33,British TV Shows,International TV Shows,TV Comedies
s34,International TV Shows,TV Dramas,TV Thrillers
s35,Kids' TV,NULL,NULL
s36,Dramas,International Movies,Thrillers
s37,Action & Adventure,Dramas,International Movies
s38,Kids' TV,TV Comedies,NULL
s39,Action & Adventure,Dramas,NULL
s40,Kids' TV,NULL,NULL
s41,Kids' TV,TV Sci-Fi & Fantasy,NULL
s42,Action & Adventure,Classic Movies,Dramas
s43,Dramas,Horror Movies,Thrillers
s44,Action & Adventure,Horror Movies,Thrillers
s45,Action & Adventure,Horror Movies,Thrillers
s46,Documentaries,NULL,NULL
s47,Action & Adventure,NULL,NULL
s48,International TV Shows,Romantic TV Shows,TV Comedies
s49,Dramas,Thrillers,NULL
s50,International TV Shows,TV Dramas,NULL
s51,International TV Shows,TV Dramas,TV Sci-Fi & Fantasy
s52,Action & Adventure,Anime Features,International Movies
s53,Action & Adventure,Anime Features,International Movies
s54,Action & Adventure,Anime Features,International Movies
s55,Action & Adventure,Anime Features,International Movies
s56,Reality TV,NULL,NULL
s57,Action & Adventure,Anime Features,International Movies
s58,Action & Adventure,Anime Features,International Movies
s59,Action & Adventure,Anime Features,International Movies
s60,Action & Adventure,Anime Features,International Movies
s61,Action & Adventure,Anime Features,International Movies
s62,Action & Adventure,Anime Features,International Movies
s63,Action & Adventure,Anime Features,International Movies
s64,Action & Adventure,Anime Features,International Movies
s65,Children & Family Movies,NULL,NULL
s66,Kids' TV,NULL,NULL
s67,Docuseries,International TV Shows,NULL
s68,Kids' TV,TV Comedies,NULL
s69,Documentaries,International Movies,Sports Movies
s70,International TV Shows,TV Dramas,NULL
s71,International TV Shows,Reality TV,Romantic TV Shows
s72,Children & Family Movies,NULL,NULL
s73,British TV Shows,Docuseries,International TV Shows
s74,Dramas,International Movies,NULL
s75,Reality TV,NULL,NULL
s76,Children & Family Movies,NULL,NULL
s77,Anime Series,International TV Shows,NULL
s78,Children & Family Movies,Comedies,NULL
s79,Comedies,Dramas,International Movies
s80,Comedies,Dramas,International Movies
s81,Children & Family Movies,NULL,NULL
s82,Action & Adventure,NULL,NULL
s83,Crime TV Shows,TV Comedies,TV Dramas
s84,Reality TV,NULL,NULL
s85,Action & Adventure,Comedies,Dramas
s86,Anime Series,Kids' TV,NULL
s87,International Movies,Thrillers,NULL
s88,Kids' TV,Korean TV Shows,NULL
s89,Documentaries,Sports Movies,NULL
s90,Kids' TV,NULL,NULL
s91,Sci-Fi & Fantasy,Thrillers,NULL
s92,Documentaries,International Movies,NULL
s93,International TV Shows,TV Dramas,TV Mysteries
s94,Dramas,International Movies,Romantic Movies
s95,Children & Family Movies,Comedies,NULL
s96,Reality TV,NULL,NULL
s97,Documentaries,Music & Musicals,NULL
s98,Kids' TV,TV Comedies,TV Sci-Fi & Fantasy
s99,British TV Shows,Kids' TV,NULL
s100,TV Comedies,TV Dramas,NULL
s101,Kids' TV,NULL,NULL
s102,Documentaries,Sports Movies,NULL
s103,Docuseries,Science & Nature TV,NULL
s104,Dramas,International Movies,Thrillers
s105,Kids' TV,Korean TV Shows,NULL
s106,Action & Adventure,Comedies,Dramas
s107,Kids' TV,TV Comedies,NULL
s108,Children & Family Movies,Dramas,NULL
s109,Kids' TV,TV Dramas,Teen TV Shows
s110,Crime TV Shows,International TV Shows,Spanish-Language TV Shows
s111,Docuseries,International TV Shows,Spanish-Language TV Shows
s112,Kids' TV,NULL,NULL
s113,Dramas,NULL,NULL
s114,Comedies,Romantic Movies,NULL
s115,Dramas,International Movies,Thrillers
s116,Dramas,Romantic Movies,NULL
s117,Comedies,Dramas,Independent Movies
s118,Documentaries,NULL,NULL
s119,Dramas,International Movies,Thrillers
s120,Dramas,International Movies,Romantic Movies
s121,Kids' TV,TV Comedies,NULL
s122,International TV Shows,Romantic TV Shows,TV Comedies
s123,Thrillers,NULL,NULL
s124,Kids' TV,NULL,NULL
s125,Kids' TV,Korean TV Shows,NULL
s126,Crime TV Shows,TV Action & Adventure,TV Comedies
s127,Dramas,International Movies,Romantic Movies
s128,Children & Family Movies,Comedies,NULL
s129,Dramas,International Movies,Thrillers
s130,Dramas,NULL,NULL
s131,Children & Family Movies,Music & Musicals,NULL
s132,Action & Adventure,Classic Movies,Cult Movies
s133,International TV Shows,TV Action & Adventure,TV Comedies
s134,Action & Adventure,Sci-Fi & Fantasy,NULL
s135,Action & Adventure,Dramas,NULL
s136,Action & Adventure,NULL,NULL
s137,Dramas,Romantic Movies,NULL
s138,Action & Adventure,Comedies,NULL
s139,Dramas,Romantic Movies,NULL
s140,Classic Movies,Comedies,Dramas
s141,Dramas,International Movies,Thrillers
s142,Action & Adventure,NULL,NULL
s143,Dramas,NULL,NULL
s144,Action & Adventure,Sci-Fi & Fantasy,NULL
s145,Comedies,Cult Movies,NULL
s146,Comedies,Cult Movies,Music & Musicals
s147,Comedies,Music & Musicals,NULL
s148,Reality TV,NULL,NULL
s149,TV Shows,NULL,NULL
s150,Action & Adventure,Comedies,NULL
s151,Thrillers,NULL,NULL
s152,Action & Adventure,International Movies,NULL
s153,Comedies,NULL,NULL
s154,Kids' TV,NULL,NULL
s155,Anime Series,International TV Shows,Teen TV Shows
s156,Action & Adventure,Children & Family Movies,Cult Movies
s157,Comedies,Dramas,Romantic Movies
s158,Sci-Fi & Fantasy,Thrillers,NULL
s159,Comedies,Romantic Movies,NULL
s160,Comedies,Dramas,International Movies
s161,TV Comedies,NULL,NULL
s162,Comedies,Cult Movies,Sci-Fi & Fantasy
s163,Dramas,NULL,NULL
s164,Comedies,Romantic Movies,NULL
s165,Action & Adventure,Comedies,NULL
s166,Crime TV Shows,International TV Shows,Spanish-Language TV Shows
s167,Classic Movies,Dramas,NULL
s168,Children & Family Movies,Comedies,NULL
s169,Action & Adventure,Children & Family Movies,Comedies
s170,Action & Adventure,Dramas,NULL
s171,Documentaries,Music & Musicals,NULL
s172,Dramas,Faith & Spirituality,NULL
s173,Comedies,Music & Musicals,NULL
s174,Documentaries,LGBTQ Movies,NULL
s175,Action & Adventure,Dramas,NULL
s176,Dramas,Romantic Movies,NULL
s177,Action & Adventure,Comedies,NULL
s178,Action & Adventure,Classic Movies,NULL
s179,Action & Adventure,Comedies,NULL
s180,Comedies,Romantic Movies,NULL
s181,Comedies,Romantic Movies,NULL
s182,Docuseries,NULL,NULL
s183,Comedies,NULL,NULL
s184,Action & Adventure,Classic Movies,NULL
s185,Reality TV,NULL,NULL
s186,Documentaries,Sports Movies,NULL
s187,International TV Shows,Romantic TV Shows,TV Comedies
s188,International TV Shows,TV Comedies,NULL
s189,Comedies,International Movies,NULL
s190,Kids' TV,TV Comedies,NULL
s191,Dramas,International Movies,NULL
s192,Dramas,Independent Movies,NULL
s193,Action & Adventure,Comedies,International Movies
s194,International TV Shows,TV Dramas,NULL
s195,International TV Shows,Spanish-Language TV Shows,TV Dramas
s196,Comedies,Dramas,International Movies
s197,Comedies,Romantic Movies,NULL
s198,Kids' TV,TV Comedies,NULL
s199,Crime TV Shows,International TV Shows,TV Dramas
s200,Comedies,Dramas,International Movies
s201,Action & Adventure,Horror Movies,International Movies
s202,Dramas,International Movies,Thrillers
s203,Comedies,International Movies,Music & Musicals
s204,Comedies,International Movies,NULL
s205,Comedies,International Movies,NULL
s206,Comedies,International Movies,Sci-Fi & Fantasy
s207,Dramas,Independent Movies,International Movies
s208,Action & Adventure,International Movies,Music & Musicals
s209,Dramas,International Movies,Music & Musicals
s210,Dramas,International Movies,Music & Musicals
s211,Horror Movies,International Movies,NULL
s212,Horror Movies,International Movies,NULL
s213,International TV Shows,TV Dramas,NULL
